('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         505558 function calls (486875 primitive calls) in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      264    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
     1655    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
     3637    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
3299/3231    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      150    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     1346    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      424    0.000    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
      786    0.000    0.000    0.001    0.000 sre_parse.py:355(_escape)
    45/14    0.000    0.000    0.009    0.001 css_parser.py:847(parse_selectors)
      178    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 connectionpool.py:483(close)
     4065    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      874    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
     1255    0.000    0.000    0.001    0.000 element.py:1284(is_empty_element)
    178/3    0.000    0.000    0.129    0.043 <frozen importlib._bootstrap>:650(_load_unlocked)
     2729    0.000    0.000    0.001    0.000 {built-in method builtins.max}
    202/3    0.000    0.000    0.130    0.043 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       13    0.000    0.000    0.001    0.000 __init__.py:313(namedtuple)
      988    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      424    0.000    0.000    0.001    0.000 element.py:932(__new__)
     1311    0.000    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
     2241    0.000    0.000    0.001    0.000 css_parser.py:305(match)
       34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      300    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
     2431    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     2431    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       77    0.000    0.000    0.003    0.000 css_parser.py:450(parse_attribute_selector)
      174    0.000    0.000    0.045    0.000 sre_parse.py:937(parse)
       33    0.000    0.000    0.003    0.000 response.py:85(decompress)
      264    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
     2028    0.000    0.000    0.003    0.000 {built-in method builtins.next}
     4573    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
       11    0.000    0.000    0.168    0.015 {method 'join' of 'bytes' objects}
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     2234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     3928    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1256    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      412    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
     1847    0.000    0.000    0.000    0.000 __init__.py:122(unescape)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
     4598    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1256    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      360    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
     1188    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2462    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      522    0.000    0.000    0.000    0.000 typing.py:762(__setattr__)
       10    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
      174    0.000    0.000    0.001    0.000 enum.py:938(__and__)
      485    0.000    0.000    0.002    0.000 enum.py:313(__call__)
      959    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    150/3    0.000    0.000    0.129    0.043 <frozen importlib._bootstrap_external>:842(exec_module)
      146    0.000    0.000    0.000    0.000 util.py:18(lower)
      317    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     1255    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      957    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1726    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      137    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
      174    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      795    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     1323    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      424    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
       16    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
      150    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
