('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         505558 function calls (486875 primitive calls) in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cookies.py:39(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    0.000    0.000 parse.py:1(<module>)
       11    0.000    0.000    0.000    0.000 queue.py:121(put)
      149    0.000    0.000    0.000    0.000 socket.py:694(readable)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.140    0.140 connection.py:37(create_connection)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
      132    0.000    0.000    0.000    0.000 os.py:693(__iter__)
      159    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       44    0.000    0.000    0.000    0.000 ipaddress.py:1810(__init__)
        1    0.000    0.000    0.006    0.006 api.py:1(<module>)
       95    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.556    0.556 connectionpool.py:522(urlopen)
        1    0.000    0.000    0.016    0.016 compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:3(<module>)
        1    0.000    0.000    0.012    0.012 ssl_.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:187(_subs_tvars)
        2    0.000    0.000    0.001    0.000 _collections.py:92(clear)
       32    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
       32    0.000    0.000    0.167    0.005 models.py:756(generate)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       12    0.000    0.000    0.000    0.000 typing.py:677(__getitem__)
        3    0.000    0.000    0.000    0.000 url.py:330(parse_url)
       12    0.000    0.000    0.000    0.000 queue.py:153(get)
        1    0.000    0.000    0.001    0.001 resources.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
      299    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
       16    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       23    0.000    0.000    0.000    0.000 threading.py:341(notify)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1224(__init__)
        1    0.000    0.000    0.000    0.000 sessions.py:3(<module>)
        1    0.000    0.000    0.013    0.013 client.py:1(<module>)
       15    0.000    0.000    0.022    0.001 css_parser.py:294(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.369    0.369 client.py:276(_read_status)
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
      174    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 fields.py:74(<dictcomp>)
       39    0.000    0.000    0.000    0.000 parse.py:113(_coerce_args)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       11    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
        7    0.000    0.000    0.000    0.000 typing.py:1060(__init_subclass__)
       11    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
        1    0.000    0.000    0.022    0.022 dammit.py:2(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       20    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       16    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        1    0.000    0.000    0.100    0.100 socket.py:901(getaddrinfo)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 core.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      171    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       41    0.000    0.000    0.000    0.000 enum.py:1015(_power_of_two)
    49/48    0.000    0.000    0.000    0.000 typing.py:720(__hash__)
        1    0.000    0.000    0.000    0.000 ssl.py:544(set_alpn_protocols)
        1    0.000    0.000    0.066    0.066 element.py:2(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1538(_make_netmask)
        1    0.000    0.000    0.725    0.725 sessions.py:613(send)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
      165    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
        1    0.000    0.000    0.003    0.003 css_match.py:1(<module>)
        3    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
       14    0.000    0.000    0.009    0.001 css_parser.py:1040(process_selectors)
        2    0.000    0.000    0.000    0.000 queue.py:1(<module>)
       38    0.000    0.000    0.000    0.000 typing.py:1435(_alias)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1125(_ip_int_from_string)
      105    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.370    0.370 client.py:309(begin)
        4    0.000    0.000    0.000    0.000 element.py:1985(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        2    0.000    0.000    0.000    0.000 client.py:415(close)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        7    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.001    0.001 md.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      152    0.000    0.000    0.000    0.000 enum.py:748(name)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:2(<module>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
      163    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       18    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
        4    0.000    0.000    0.000    0.000 ssl_match_hostname.py:25(_dnsname_match)
        9    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
       17    0.000    0.000    0.000    0.000 typing.py:689(copy_with)
        1    0.000    0.000    0.015    0.015 exceptions.py:1(<module>)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
        1    0.000    0.000    0.000    0.000 ntpath.py:2(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1662(_parse_hextet)
        8    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
       32    0.000    0.000    0.167    0.005 response.py:558(stream)
        1    0.000    0.000    0.000    0.000 __init__.py:51(lookup)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.001    0.001 client.py:222(parse_headers)
        1    0.000    0.000    0.000    0.000 idna.py:300(getregentry)
        1    0.000    0.000    0.002    0.002 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
       32    0.000    0.000    0.000    0.000 functools.py:487(lru_cache)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
       39    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1596(make_cookies)
       26    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
        5    0.000    0.000    0.000    0.000 __init__.py:862(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.016    0.016 exceptions.py:3(<module>)
       69    0.000    0.000    0.000    0.000 status_codes.py:120(<genexpr>)
        1    0.000    0.000    0.000    0.000 _html5lib.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:454(reset)
        1    0.000    0.000    0.000    0.000 client.py:204(_read_headers)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        1    0.000    0.000    0.727    0.727 api.py:64(get)
       16    0.000    0.000    0.000    0.000 enum.py:68(__init__)
       99    0.000    0.000    0.000    0.000 constant.py:342(<lambda>)
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1099(_make_netmask)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:169(__init__)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:459(parse_ns_headers)
        9    0.000    0.000    0.000    0.000 __init__.py:2018(getLogger)
        5    0.000    0.000    0.000    0.000 client.py:1212(putheader)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
       78    0.000    0.000    0.000    0.000 element.py:1536(__eq__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
       26    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       22    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
        1    0.000    0.000    0.000    0.000 element.py:151(PageElement)
       26    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.000    0.000 socket.py:301(makefile)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
        7    0.000    0.000    0.000    0.000 sessions.py:50(merge_setting)
       21    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
       14    0.000    0.000    0.000    0.000 css_parser.py:442(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:2251(Path)
        2    0.000    0.000    0.000    0.000 cookiejar.py:143(_str2time)
        1    0.000    0.000    0.000    0.000 response.py:417(_flush_decoder)
        1    0.000    0.000    0.000    0.000 response.py:584(from_httplib)
        1    0.000    0.000    0.000    0.000 client.py:1258(_send_request)
        3    0.000    0.000    0.000    0.000 {function HTTPResponse.close at 0x7f664957a0d0}
        1    0.000    0.000    0.000    0.000 request.py:651(HTTPRedirectHandler)
        1    0.000    0.000    0.000    0.000 connectionpool.py:895(HTTPSConnectionPool)
        4    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 retry.py:243(__init__)
        1    0.000    0.000    0.041    0.041 ssl.py:1302(do_handshake)
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
        1    0.000    0.000    0.000    0.000 auth.py:3(<module>)
        1    0.000    0.000    0.002    0.002 parser.py:1(<module>)
        7    0.000    0.000    0.000    0.000 structures.py:42(__init__)
        1    0.000    0.000    0.557    0.557 adapters.py:395(send)
       95    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        3    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.023    0.023 formatter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1838(IO)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
       24    0.000    0.000    0.000    0.000 threading.py:246(__enter__)
       34    0.000    0.000    0.000    0.000 enum.py:957(_high_bit)
        4    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        1    0.000    0.000    0.000    0.000 response.py:198(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:878(__class_getitem__)
        4    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 ipaddress.py:4(<module>)
        1    0.000    0.000    0.000    0.000 filepost.py:1(<module>)
       34    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
        2    0.000    0.000    0.000    0.000 ssl_.py:457(is_ipaddress)
        1    0.000    0.000    0.000    0.000 poolmanager.py:79(_default_key_normalizer)
        5    0.000    0.000    0.000    0.000 typing.py:818(__getitem_inner__)
        4    0.000    0.000    0.008    0.002 element.py:1847(find_all)
      125    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:942(set_ok)
        1    0.000    0.000    0.000    0.000 models.py:606(__init__)
       18    0.000    0.000    0.000    0.000 _collections.py:215(add)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       50    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
        1    0.000    0.000    0.044    0.044 ssl_.py:355(ssl_wrap_socket)
        1    0.000    0.000    0.000    0.000 socket.py:502(detach)
        7    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.023    0.023 css_parser.py:417(CSSParser)
        1    0.000    0.000    0.000    0.000 dammit.py:2765(UnicodeDammit)
        1    0.000    0.000    0.000    0.000 pathlib.py:120(_WindowsFlavour)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1258(__init__)
        1    0.000    0.000    0.000    0.000 models.py:14(CharsetMatch)
       24    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
       61    0.000    0.000    0.000    0.000 dammit.py:2409(<listcomp>)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        7    0.000    0.000    0.000    0.000 utils.py:322(to_key_val_list)
        1    0.000    0.000    0.000    0.000 connection.py:231(request)
        1    0.000    0.000    0.007    0.007 feedparser.py:5(<module>)
        5    0.000    0.000    0.001    0.000 six.py:95(__get__)
       20    0.000    0.000    0.014    0.001 six.py:190(find_spec)
        1    0.000    0.000    0.726    0.726 sessions.py:457(request)
        5    0.000    0.000    0.000    0.000 parse.py:878(quote_from_bytes)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        1    0.000    0.000    0.000    0.000 ipaddress.py:2151(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 element.py:1144(Tag)
        4    0.000    0.000    0.000    0.000 typing.py:248(_tp_cache)
        5    0.000    0.000    0.000    0.000 __init__.py:843(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 six.py:957(wrapper)
       16    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
        1    0.000    0.000    0.726    0.726 api.py:16(request)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:179(get_netrc_auth)
        4    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.001    0.000 adapters.py:320(close)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:307(__init__)
        1    0.000    0.000    0.000    0.000 css_parser.py:645(parse_pseudo_nth)
        2    0.000    0.000    0.000    0.000 poolmanager.py:171(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1677(extract_cookies)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        4    0.000    0.000    0.000    0.000 element.py:2242(__init__)
    41/11    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 sessions.py:417(prepare_request)
       62    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:971(SSLSocket)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1483(_cookie_from_cookie_tuple)
        2    0.000    0.000    0.000    0.000 ssl.py:710(verify_mode)
        2    0.000    0.000    0.000    0.000 cookiejar.py:754(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        1    0.000    0.000    0.000    0.000 client.py:1056(putrequest)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
       34    0.000    0.000    0.000    0.000 typing.py:358(<genexpr>)
        3    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
       23    0.000    0.000    0.000    0.000 threading.py:261(_is_owned)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        1    0.000    0.000    0.000    0.000 pathlib.py:64(parse_parts)
        1    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.001    0.001 sessions.py:734(close)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sessions.py:349(__init__)
        1    0.000    0.000    0.000    0.000 models.py:360(prepare_url)
        1    0.000    0.000    0.000    0.000 threading.py:750(Thread)
        7    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:293(get_connection)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.007    0.007 _policybase.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.011    0.011 css_parser.py:314(__init__)
        1    0.000    0.000    0.000    0.000 fields.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl_match_hostname.py:98(match_hostname)
        1    0.000    0.000    0.000    0.000 cookies.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
        1    0.000    0.000    0.000    0.000 ipaddress.py:27(ip_address)
        3    0.000    0.000    0.168    0.056 models.py:825(content)
        1    0.000    0.000    0.000    0.000 ipaddress.py:622(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 socket.py:732(close)
       26    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       20    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
       24    0.000    0.000    0.000    0.000 threading.py:249(__exit__)
        3    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
        1    0.000    0.000    0.000    0.000 wait.py:1(<module>)
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       10    0.000    0.000    0.000    0.000 element.py:1330(_all_strings)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1386(_normalized_cookie_tuples)
        1    0.000    0.000    0.000    0.000 connectionpool.py:996(_new_conn)
        9    0.000    0.000    0.000    0.000 url.py:302(_idna_encode)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
       27    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        2    0.000    0.000    0.000    0.000 adapters.py:114(__init__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 client.py:820(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:1(<module>)
        1    0.000    0.000    0.140    0.140 connection.py:161(_new_conn)
        1    0.000    0.000    0.001    0.001 parser.py:59(parsestr)
        1    0.000    0.000    0.000    0.000 datetime.py:1559(datetime)
       14    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
        1    0.000    0.000    0.000    0.000 pathlib.py:629(PurePath)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:225(http2time)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        8    0.000    0.000    0.000    0.000 parse.py:158(hostname)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 socks.py:2(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        1    0.000    0.000    0.000    0.000 client.py:246(__init__)
       11    0.000    0.000    0.000    0.000 queue.py:21(_get)
       35    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        5    0.000    0.000    0.000    0.000 parse.py:807(quote)
        1    0.000    0.000    0.000    0.000 _collections.py:231(extend)
        1    0.000    0.000    0.041    0.041 ssl.py:494(wrap_socket)
        4    0.000    0.000    0.000    0.000 cookiejar.py:877(__init__)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        9    0.000    0.000    0.000    0.000 url.py:303(<listcomp>)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1484(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 ssl.py:474(SSLContext)
        4    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1219(vals_sorted_by_key)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1008(set_ok_domain)
      106    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        8    0.000    0.000    0.000    0.000 parse.py:198(_hostinfo)
        3    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
        1    0.000    0.000    0.000    0.000 parser.py:256(parse_html_declaration)
        2    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
       26    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       14    0.000    0.000    0.000    0.000 __init__.py:776(__init__)
        1    0.000    0.000    0.000    0.000 string.py:67(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1243(CookieJar)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:738(should_bypass_proxies)
        4    0.000    0.000    0.000    0.000 six.py:201(load_module)
       28    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        1    0.000    0.000    0.000    0.000 idna.py:3(<module>)
        4    0.000    0.000    0.000    0.000 cookiejar.py:613(request_host)
        2    0.000    0.000    0.000    0.000 __init__.py:891(createLock)
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 ssl.py:1372(version)
        1    0.000    0.000    0.000    0.000 random.py:123(seed)
        4    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        1    0.000    0.000    0.185    0.185 connectionpool.py:1032(_validate_conn)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       26    0.000    0.000    0.000    0.000 typing.py:685(<genexpr>)
        1    0.000    0.000    0.000    0.000 adapters.py:256(build_response)
        1    0.000    0.000    0.051    0.051 _htmlparser.py:384(feed)
        2    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
       11    0.000    0.000    0.000    0.000 queue.py:18(_put)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:384(_default_mime_types)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:373(HTMLTreeBuilder)
        3    0.000    0.000    0.000    0.000 datetime.py:1567(__new__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:433(_ip_int_from_prefix)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:70(search_function)
        2    0.000    0.000    0.000    0.000 calendar.py:655(timegm)
        1    0.000    0.000    0.000    0.000 client.py:929(close)
        1    0.000    0.000    0.000    0.000 pathlib.py:1025(Path)
        1    0.000    0.000    0.000    0.000 connection.py:531(_match_hostname)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
        1    0.000    0.000    0.000    0.000 response.py:160(HTTPResponse)
        1    0.000    0.000    0.000    0.000 ssl.py:1193(sendall)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        2    0.000    0.000    0.000    0.000 socket.py:492(_real_close)
        1    0.000    0.000    0.000    0.000 connection.py:100(_set_socket_options)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:812(SSLObject)
        3    0.000    0.000    0.000    0.000 url.py:244(_remove_path_dot_segments)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _markupbase.py:168(parse_comment)
       15    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
       13    0.000    0.000    0.000    0.000 enum.py:398(__members__)
       23    0.000    0.000    0.000    0.000 queue.py:15(_qsize)
        2    0.000    0.000    0.000    0.000 six.py:642(itervalues)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        1    0.000    0.000    0.008    0.008 parser.py:5(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:216(clear)
        2    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
       44    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 _collections.py:141(__init__)
        6    0.000    0.000    0.000    0.000 six.py:128(__init__)
        6    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        6    0.000    0.000    0.000    0.000 typing.py:802(__getitem__)
        6    0.000    0.000    0.000    0.000 structures.py:59(__iter__)
        3    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
